id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,observerUid,processingStatus,duplicateQuantity,labelProject,recordEnteredBy,dateEntered,dateLastModified,modified,sourcePrimaryKey.dbpk,recordID,references
857177,UCSB,IZC,,PreservedSpecimen,2b927546-d66f-4777-9946-e37a1e4f7c67,UCSB-IZC00040261,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,3/17/20,,,,,,UCSBees,"David Dewey, Lynn McLaren, Andy Brooks",,8/15/19,2019,8,15,227,NA,8/15/19,,,,,CSMR_03,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,Carpentaria,Carpinteria Salt Marsh Reserve,,0,,34.39822,-119.5304,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:13,181418,urn:uuid:0771130e-8e3f-4cc0-8126-8d88958ad2c8,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857177
857178,UCSB,IZC,,PreservedSpecimen,eaf4a9ad-a76a-41dd-8f8c-67a59da620a6,UCSB-IZC00042266,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,3/17/20,,,,,,UCSBees,"David Dewey, Lynn McLaren, Andy Brooks",,8/15/19,2019,8,15,227,NA,8/15/19,,,,,CSMR_03,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,Carpentaria,Carpinteria Salt Marsh Reserve,,0,,34.39822,-119.5304,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:13,181419,urn:uuid:85dba013-1276-4341-801f-eb1c3cb95d5a,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857178
857179,UCSB,IZC,,PreservedSpecimen,766ff3ff-4337-456e-9e24-165ef8ffd9fa,UCSB-IZC00042265,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,3/17/20,,,,,,UCSBees,"David Dewey, Lynn McLaren, Andy Brooks",,8/15/19,2019,8,15,227,NA,8/15/19,,,,,CSMR_03,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,Carpentaria,Carpinteria Salt Marsh Reserve,,0,,34.39822,-119.5304,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:13,181420,urn:uuid:0af5f1c9-6d7c-4664-8972-7a335e3c9ea8,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857179
857185,UCSB,IZC,,PreservedSpecimen,72182430-75b9-4b32-8a08-a9becb295772,UCSB-IZC00037698,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,3/17/20,,,,,,UCSBees,"David Dewey, Lynn McLaren, Andy Brooks",,8/15/19,2019,8,15,227,NA,8/15/19,,,,,CSMR_03,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,Carpentaria,Carpinteria Salt Marsh Reserve,,0,,34.39822,-119.5304,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:13,181426,urn:uuid:a9aaf84a-1187-4a8f-b362-38ceafb127f3,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857185
857186,UCSB,IZC,,PreservedSpecimen,0b834bcd-5c20-4bc9-8547-6a67e850efcb,UCSB-IZC00038777,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,3/17/20,,,,,,UCSBees,"David Dewey, Lynn McLaren, Andy Brooks",,8/15/19,2019,8,15,227,NA,8/15/19,,,,,CSMR_03,NA,NA,,,NA,NA,,,NA,NA,Adult,Male,1,Pinned,United States,California,Santa Barbara,Carpentaria,Carpinteria Salt Marsh Reserve,,0,,34.39822,-119.5304,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:13,181427,urn:uuid:adcc7a09-1a09-452a-9d71-fd7bb5a9b9f3,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857186
857187,UCSB,IZC,,PreservedSpecimen,46eaf575-7e43-448d-90ea-0950b9142d52,UCSB-IZC00037707,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,3/17/20,,,,,,UCSBees,"David Dewey, Lynn McLaren, Andy Brooks",,8/15/19,2019,8,15,227,NA,8/15/19,,,,,CSMR_03,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,Carpentaria,Carpinteria Salt Marsh Reserve,,0,,34.39822,-119.5304,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:13,181428,urn:uuid:afd10aff-8f36-46dc-baaf-ee053fb67f5b,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857187
857188,UCSB,IZC,,PreservedSpecimen,ef0e9e40-4e51-43d6-b59f-fd75a64b6a4f,UCSB-IZC00042623,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,3/17/20,,,,,,UCSBees,"David Dewey, Lynn McLaren, Andy Brooks",,8/15/19,2019,8,15,227,NA,8/15/19,,,,,CSMR_03,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,Carpentaria,Carpinteria Salt Marsh Reserve,,0,,34.39822,-119.5304,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:13,181429,urn:uuid:add0185c-b58e-4d34-b12e-0edf9aabedb3,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857188
857193,UCSB,IZC,,PreservedSpecimen,6e111cca-4865-4353-bce7-7f6a831fe702,UCSB-IZC00043003,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,3/17/20,,,,,,UCSBees,"David Dewey, Lynn McLaren, Andy Brooks",,8/15/19,2019,8,15,227,NA,8/15/19,,,,,CSMR_03,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,Carpentaria,Carpinteria Salt Marsh Reserve,,0,,34.39822,-119.5304,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:13,181434,urn:uuid:044b3ee4-fd1d-4bf8-83dc-b77928683a58,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857193
857222,UCSB,IZC,,PreservedSpecimen,f5d33142-cf92-4f9a-bd5c-ebf7e88674f8,UCSB-IZC00042297,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Katja Seltmann,10/20/20,,,,,,David Dewey,,,10/21/19,2019,10,21,294,NA,10/21/19,Collected off pool,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,,"Santa Cruz Island, main ranch chapel yard",,0,,33.997278,-119.714056,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,10/22/20 15:49,227565,urn:uuid:5e2bef38-76c4-4442-9798-becc258d80ef,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857222
857242,UCSB,IZC,,PreservedSpecimen,77ea199d-650d-4157-9a43-9a44ab71eea6,UCSB-IZC00042764,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Elaine Tan,3/16/19,,,,,,David Dewey,David Dewey,,8/14/19,2019,8,14,226,NA,8/14/19,,,,,SCIR_04,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,,Santa Cruz Island,,0,,33.991056,-119.719278,WGS84,10,,,,GPS,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,2/15/22 18:40,2/15/22 18:41,12/28/20 17:15,227585,urn:uuid:c11a80dc-bf4d-47c8-b247-068b23cc5fb1,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=857242
