catalogNumber,tegula_cm,scale_cm,data_collector,Filename,notes,itd_corrected
UCSB-IZC00028379,0.213,0.501,alec,UCSB-IZC00028379.jpg,NA,0.21257485029940118
UCSB-IZC00028611,0.188,0.501,alec,UCSB-IZC00028611.jpg,NA,0.18762475049900199
UCSB-IZC00030039,0.199,0.501,alec,UCSB-IZC00030039.jpg,NA,0.19860279441117765
UCSB-IZC00030075,0.212,0.501,alec,UCSB-IZC00030075.jpg,NA,0.2115768463073852
UCSB-IZC00030159,0.195,0.5,alec,UCSB-IZC00030159.jpg,NA,0.195
UCSB-IZC00030313,0.213,0.501,alec,UCSB-IZC00030313.jpg,NA,0.21257485029940118
UCSB-IZC00030335,0.21,0.503,alec,UCSB-IZC00030335.jpg,NA,0.20874751491053678
UCSB-IZC00030367,0.2,0.501,alec,UCSB-IZC00030367.jpg,NA,0.1996007984031936
UCSB-IZC00030369,0.206,0.501,alec,UCSB-IZC00030369.jpg,NA,0.2055888223552894
UCSB-IZC00030423,0.179,0.498,alec,UCSB-IZC00030423.jpg,NA,0.17971887550200802
UCSB-IZC00030474,0.207,0.503,alec,UCSB-IZC00030474.jpg,NA,0.20576540755467196
UCSB-IZC00030667,0.2,0.497,alec,UCSB-IZC00030667.jpg,NA,0.2012072434607646
UCSB-IZC00030694,0.209,0.5,alec,UCSB-IZC00030694.jpg,NA,0.209
UCSB-IZC00030695,0.164,0.498,alec,UCSB-IZC00030695.jpg,NA,0.16465863453815263
UCSB-IZC00030755,0.149,0.497,alec,UCSB-IZC00030755.jpg,NA,0.1498993963782696
UCSB-IZC00030767,0.206,0.501,alec,UCSB-IZC00030767.jpg,NA,0.2055888223552894
UCSB-IZC00030779,0.166,0.502,alec,UCSB-IZC00030779.jpg,NA,0.1653386454183267
UCSB-IZC00030786,0.213,0.502,alec,UCSB-IZC00030786.jpg,NA,0.21215139442231076
UCSB-IZC00030795,0.144,0.501,alec,UCSB-IZC00030795.jpg,NA,0.1437125748502994
UCSB-IZC00030796,0.209,0.5,alec,UCSB-IZC00030796.jpg,NA,0.209
UCSB-IZC00030809,0.205,0.499,alec,UCSB-IZC00030809.jpg,NA,0.20541082164328656
